what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1299965661245
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1299965665843
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299965666852
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1299965678826
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1299965680841
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1299965684029
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299965692537
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299965729492
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299965794436
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299965796088
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299965796935
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299965856751
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1299965865618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299965870013
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299965877358
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299965881642
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299965892934
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299965895974
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299965929486
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299965930875
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299965950237
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299965950655
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299965979152
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299965981486
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299965998593
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299966000432
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299966000992
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299966005534
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1299966006898
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299966011657
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299966158368
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1299966160537
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1299966160690
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1299966160859
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1299966161134
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299966167252
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1299966206807
